Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date,SkuId,Order Quantity
"Lorcana TCG","Sisu - Divine Water Dragon","Near Mint","159/204","Rise of the Floodborn","Legendary","1","","11/17/2023 00:00:00","7546192","623394E9-E80E10-49AE5:1"
"Lorcana TCG","Snow White - Well Wisher","Near Mint","25/204","Rise of the Floodborn","Legendary","1","","11/17/2023 00:00:00","7578670","623394E9-67E9ED-460EE:1"
"Lorcana TCG","Yzma - Scary Beyond All Reason","Near Mint","60/204","Rise of the Floodborn","Super Rare","1","","11/17/2023 00:00:00","7579250","623394E9-67E9ED-460EE:1"
"Lorcana TCG","Mickey Mouse - Wayward Sorcerer","Near Mint","51/204","The First Chapter","Super Rare","1","","08/18/2023 00:00:00","7288317","623394E9-67E9ED-460EE:1"
"Lorcana TCG","Dawson - Puzzling Sleuth","Near Mint Cold Foil","161/204","Archazia's Island","Rare","1","","03/07/2025 00:00:00","8584879","623394E9-1A08B3-C3B11:1"
"Lorcana TCG","Kenai - Magical Bear","Near Mint Cold Foil","70/204","Archazia's Island","Rare","1","","03/07/2025 00:00:00","8576782","623394E9-1A08B3-C3B11:1"
"Lorcana TCG","Lady Tremaine - Bitterly Jealous","Near Mint Cold Foil","115/204","Archazia's Island","Legendary","1","","03/07/2025 00:00:00","8584579","623394E9-1A08B3-C3B11:1"
"Lorcana TCG","Lyle Tiberius Rourke - Crystallized Mercenary","Near Mint Cold Foil","140/204","Archazia's Island","Rare","1","","03/07/2025 00:00:00","8584739","623394E9-1A08B3-C3B11:1"
"Lorcana TCG","Mickey Mouse - Musketeer Captain","Near Mint Cold Foil","16/204","Ursula's Return","Legendary","1","","05/17/2024 00:00:00","7906445","623394E9-1A08B3-C3B11:1"
"Lorcana TCG","Namaari - Morning Mist (Enchanted)","Near Mint Holofoil","216/204","Rise of the Floodborn","Enchanted","1","","11/17/2023 00:00:00","7579709","623394E9-FBF7BE-EA6D5:1"
Orders Contained in Pull Sheet:,623394E9-23CAFE-565FC|623394E9-805EEF-0F0CC|623394E9-306396-4A205|623394E9-CD2EAF-BB492|623394E9-3FFB1F-3CA57|623394E9-F7C55C-7C24B|623394E9-6607AE-C75E0|623394E9-B2EC92-285BA|623394E9-7CFA6B-442AA|623394E9-E64E38-276FD|623394E9-FBF7BE-EA6D5|623394E9-D097B6-1A875|623394E9-0B3B61-50171|623394E9-D46730-D0665|623394E9-DC28A7-B06F3|623394E9-FF0985-43BB3|623394E9-251C05-ACA02|623394E9-C1D4CA-502E5|623394E9-E312C3-F02B3|623394E9-146375-2F0DF|623394E9-8D38C3-F7507|623394E9-E80E10-49AE5|623394E9-1A08B3-C3B11|623394E9-67E9ED-460EE|623394E9-B12F29-F1A15
